payment_id,customer_id,prediction_time,logged_action,logging_probability,logged_recovered,base_policy_intervention,fraud_flag,raw_best_action,selected_action,selected_probability,decision_margin,fallback_used,decision_reason,selected_action_supported,candidate_actions,predicted_retry_payment_probability,retry_payment_support_count,retry_payment_support_ess,retry_payment_supported,predicted_payment_link_probability,payment_link_support_count,payment_link_support_ess,payment_link_supported,predicted_whatsapp_reminder_probability,whatsapp_reminder_support_count,whatsapp_reminder_support_ess,whatsapp_reminder_supported,predicted_escalate_to_merchant_probability,escalate_to_merchant_support_count,escalate_to_merchant_support_ess,escalate_to_merchant_supported
TXN0000027707,C009053,2024-11-06 10:24:12,retry_payment,0.90000000,0,retry_payment,0,whatsapp_reminder,retry_payment,0.59811842,,True,single_supported_candidate,True,"{""escalate_to_merchant"": {""action_count"": 8, ""effective_sample_size"": 8.0, ""probability"": 0.51183635, ""supported"": false}, ""payment_link"": {""action_count"": 3, ""effective_sample_size"": 3.0, ""probability"": 0.63474345, ""supported"": false}, ""retry_payment"": {""action_count"": 58, ""effective_sample_size"": 8.97709815, ""probability"": 0.59811842, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 24, ""effective_sample_size"": 3.90270249, ""probability"": 0.66872036, ""supported"": false}}",0.59811842,58,8.97709815,True,0.63474345,3,3.00000000,False,0.66872036,24,3.90270249,False,0.51183635,8,8.00000000,False
TXN0000095845,C006793,2024-11-06 11:04:14,payment_link,0.90000000,1,payment_link,0,whatsapp_reminder,retry_payment,0.58853102,0.00746650,True,insufficient_probability_margin,True,"{""escalate_to_merchant"": {""action_count"": 196, ""effective_sample_size"": 56.61961283, ""probability"": 0.42254701, ""supported"": true}, ""payment_link"": {""action_count"": 625, ""effective_sample_size"": 91.91881191, ""probability"": 0.62807721, ""supported"": true}, ""retry_payment"": {""action_count"": 387, ""effective_sample_size"": 66.60326136, ""probability"": 0.58853102, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 50, ""effective_sample_size"": 36.09870729, ""probability"": 0.6355437, ""supported"": true}}",0.58853102,387,66.60326136,True,0.62807721,625,91.91881191,True,0.63554370,50,36.09870729,True,0.42254701,196,56.61961283,True
TXN0000040953,C009727,2024-11-06 11:09:13,retry_payment,0.90000000,1,retry_payment,0,whatsapp_reminder,escalate_to_merchant,0.56746203,,True,no_supported_candidate_safety_fallback,False,"{""escalate_to_merchant"": {""action_count"": 11, ""effective_sample_size"": 2.7055214, ""probability"": 0.56746203, ""supported"": false}, ""payment_link"": {""action_count"": 8, ""effective_sample_size"": 4.29589038, ""probability"": 0.68124038, ""supported"": false}, ""retry_payment"": {""action_count"": 49, ""effective_sample_size"": 7.2393814, ""probability"": 0.66873395, ""supported"": false}, ""whatsapp_reminder"": {""action_count"": 23, ""effective_sample_size"": 3.80324523, ""probability"": 0.71460634, ""supported"": false}}",0.66873395,49,7.23938140,False,0.68124038,8,4.29589038,False,0.71460634,23,3.80324523,False,0.56746203,11,2.70552140,False
TXN0000246834,C009422,2024-11-06 12:04:00,retry_payment,0.90000000,0,retry_payment,0,whatsapp_reminder,whatsapp_reminder,0.66553026,0.02746272,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 237, ""effective_sample_size"": 33.53941007, ""probability"": 0.52472293, ""supported"": true}, ""payment_link"": {""action_count"": 9, ""effective_sample_size"": 9.0, ""probability"": 0.65306818, ""supported"": false}, ""retry_payment"": {""action_count"": 126, ""effective_sample_size"": 18.74890631, ""probability"": 0.63806754, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 73, ""effective_sample_size"": 15.08078281, ""probability"": 0.66553026, ""supported"": true}}",0.63806754,126,18.74890631,True,0.65306818,9,9.00000000,False,0.66553026,73,15.08078281,True,0.52472293,237,33.53941007,True
TXN0000201314,C006992,2024-11-06 12:16:21,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,payment_link,whatsapp_reminder,0.62720096,0.02296048,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 237, ""effective_sample_size"": 33.53941007, ""probability"": 0.51292169, ""supported"": true}, ""payment_link"": {""action_count"": 9, ""effective_sample_size"": 9.0, ""probability"": 0.65728456, ""supported"": false}, ""retry_payment"": {""action_count"": 126, ""effective_sample_size"": 18.74890631, ""probability"": 0.60424048, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 73, ""effective_sample_size"": 15.08078281, ""probability"": 0.62720096, ""supported"": true}}",0.60424048,126,18.74890631,True,0.65728456,9,9.00000000,False,0.62720096,73,15.08078281,True,0.51292169,237,33.53941007,True
TXN0000243507,C001496,2024-11-06 13:11:38,whatsapp_reminder,0.90000000,1,whatsapp_reminder,0,payment_link,whatsapp_reminder,0.53902769,0.04211658,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 237, ""effective_sample_size"": 33.53941007, ""probability"": 0.41656336, ""supported"": true}, ""payment_link"": {""action_count"": 9, ""effective_sample_size"": 9.0, ""probability"": 0.55139571, ""supported"": false}, ""retry_payment"": {""action_count"": 126, ""effective_sample_size"": 18.74890631, ""probability"": 0.49691111, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 73, ""effective_sample_size"": 15.08078281, ""probability"": 0.53902769, ""supported"": true}}",0.49691111,126,18.74890631,True,0.55139571,9,9.00000000,False,0.53902769,73,15.08078281,True,0.41656336,237,33.53941007,True
TXN0000031139,C009462,2024-11-06 14:35:29,retry_payment,0.90000000,1,retry_payment,0,whatsapp_reminder,whatsapp_reminder,0.75677717,0.02894121,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 213, ""effective_sample_size"": 29.38877094, ""probability"": 0.58400762, ""supported"": true}, ""payment_link"": {""action_count"": 55, ""effective_sample_size"": 23.54174517, ""probability"": 0.72783595, ""supported"": true}, ""retry_payment"": {""action_count"": 134, ""effective_sample_size"": 25.67475706, ""probability"": 0.71235061, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 69, ""effective_sample_size"": 17.37637634, ""probability"": 0.75677717, ""supported"": true}}",0.71235061,134,25.67475706,True,0.72783595,55,23.54174517,True,0.75677717,69,17.37637634,True,0.58400762,213,29.38877094,True
TXN0000114122,C003718,2024-11-06 15:01:03,payment_link,0.03333333,0,escalate_to_merchant,0,whatsapp_reminder,whatsapp_reminder,0.55324185,0.03562653,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 211, ""effective_sample_size"": 29.09046962, ""probability"": 0.39828956, ""supported"": true}, ""payment_link"": {""action_count"": 17, ""effective_sample_size"": 16.07278182, ""probability"": 0.53581816, ""supported"": false}, ""retry_payment"": {""action_count"": 172, ""effective_sample_size"": 27.72056966, ""probability"": 0.51761532, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 66, ""effective_sample_size"": 18.92736169, ""probability"": 0.55324185, ""supported"": true}}",0.51761532,172,27.72056966,True,0.53581816,17,16.07278182,False,0.55324185,66,18.92736169,True,0.39828956,211,29.09046962,True
TXN0000150048,C002256,2024-11-06 15:25:26,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,payment_link,whatsapp_reminder,0.61300147,0.02400732,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 211, ""effective_sample_size"": 29.09046962, ""probability"": 0.49590909, ""supported"": true}, ""payment_link"": {""action_count"": 17, ""effective_sample_size"": 16.07278182, ""probability"": 0.61336493, ""supported"": false}, ""retry_payment"": {""action_count"": 172, ""effective_sample_size"": 27.72056966, ""probability"": 0.58899415, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 66, ""effective_sample_size"": 18.92736169, ""probability"": 0.61300147, ""supported"": true}}",0.58899415,172,27.72056966,True,0.61336493,17,16.07278182,False,0.61300147,66,18.92736169,True,0.49590909,211,29.09046962,True
TXN0000215167,C002628,2024-11-06 15:31:59,payment_link,0.03333333,0,retry_payment,0,whatsapp_reminder,retry_payment,0.48515952,,True,single_supported_candidate,True,"{""escalate_to_merchant"": {""action_count"": 12, ""effective_sample_size"": 7.36805008, ""probability"": 0.30542424, ""supported"": false}, ""payment_link"": {""action_count"": 25, ""effective_sample_size"": 3.45418296, ""probability"": 0.49808323, ""supported"": false}, ""retry_payment"": {""action_count"": 58, ""effective_sample_size"": 8.97709815, ""probability"": 0.48515952, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 10, ""effective_sample_size"": 3.5296262, ""probability"": 0.5261538, ""supported"": false}}",0.48515952,58,8.97709815,True,0.49808323,25,3.45418296,False,0.52615380,10,3.52962620,False,0.30542424,12,7.36805008,False
TXN0000101400,C001906,2024-11-06 15:37:08,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,payment_link,whatsapp_reminder,0.62594098,0.04969925,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 211, ""effective_sample_size"": 29.09046962, ""probability"": 0.48652846, ""supported"": true}, ""payment_link"": {""action_count"": 17, ""effective_sample_size"": 16.07278182, ""probability"": 0.6694355, ""supported"": false}, ""retry_payment"": {""action_count"": 172, ""effective_sample_size"": 27.72056966, ""probability"": 0.57624173, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 66, ""effective_sample_size"": 18.92736169, ""probability"": 0.62594098, ""supported"": true}}",0.57624173,172,27.72056966,True,0.66943550,17,16.07278182,False,0.62594098,66,18.92736169,True,0.48652846,211,29.09046962,True
TXN0000149232,C001692,2024-11-06 16:08:33,retry_payment,0.90000000,0,retry_payment,0,whatsapp_reminder,retry_payment,0.62416959,,True,single_supported_candidate,True,"{""escalate_to_merchant"": {""action_count"": 8, ""effective_sample_size"": 8.0, ""probability"": 0.52948195, ""supported"": false}, ""payment_link"": {""action_count"": 3, ""effective_sample_size"": 3.0, ""probability"": 0.65985382, ""supported"": false}, ""retry_payment"": {""action_count"": 58, ""effective_sample_size"": 8.97709815, ""probability"": 0.62416959, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 24, ""effective_sample_size"": 3.90270249, ""probability"": 0.66119158, ""supported"": false}}",0.62416959,58,8.97709815,True,0.65985382,3,3.00000000,False,0.66119158,24,3.90270249,False,0.52948195,8,8.00000000,False
TXN0000044419,C007539,2024-11-06 16:13:49,retry_payment,0.90000000,1,retry_payment,0,whatsapp_reminder,whatsapp_reminder,0.72416866,0.04627842,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 237, ""effective_sample_size"": 33.53941007, ""probability"": 0.54946941, ""supported"": true}, ""payment_link"": {""action_count"": 9, ""effective_sample_size"": 9.0, ""probability"": 0.71472299, ""supported"": false}, ""retry_payment"": {""action_count"": 126, ""effective_sample_size"": 18.74890631, ""probability"": 0.67789024, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 73, ""effective_sample_size"": 15.08078281, ""probability"": 0.72416866, ""supported"": true}}",0.67789024,126,18.74890631,True,0.71472299,9,9.00000000,False,0.72416866,73,15.08078281,True,0.54946941,237,33.53941007,True
TXN0000020920,C002974,2024-11-06 16:25:50,payment_link,0.90000000,1,payment_link,0,whatsapp_reminder,retry_payment,0.60312635,0.01580101,True,insufficient_probability_margin,True,"{""escalate_to_merchant"": {""action_count"": 65, ""effective_sample_size"": 18.84615345, ""probability"": 0.43758541, ""supported"": true}, ""payment_link"": {""action_count"": 218, ""effective_sample_size"": 30.47265689, ""probability"": 0.62994927, ""supported"": true}, ""retry_payment"": {""action_count"": 129, ""effective_sample_size"": 19.07760664, ""probability"": 0.60312635, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 34, ""effective_sample_size"": 21.95535821, ""probability"": 0.64575028, ""supported"": true}}",0.60312635,129,19.07760664,True,0.62994927,218,30.47265689,True,0.64575028,34,21.95535821,True,0.43758541,65,18.84615345,True
TXN0000222252,C005353,2024-11-06 17:08:25,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,payment_link,0.71174657,0.02408499,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 685, ""effective_sample_size"": 101.1676816, ""probability"": 0.55687755, ""supported"": true}, ""payment_link"": {""action_count"": 55, ""effective_sample_size"": 50.36414754, ""probability"": 0.71174657, ""supported"": true}, ""retry_payment"": {""action_count"": 382, ""effective_sample_size"": 61.49646714, ""probability"": 0.65819395, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 122, ""effective_sample_size"": 42.51287438, ""probability"": 0.68766159, ""supported"": true}}",0.65819395,382,61.49646714,True,0.71174657,55,50.36414754,True,0.68766159,122,42.51287438,True,0.55687755,685,101.16768160,True
TXN0000145130,C006562,2024-11-06 17:38:24,retry_payment,0.90000000,0,retry_payment,0,payment_link,escalate_to_merchant,0.41850108,,True,no_supported_candidate_safety_fallback,False,"{""escalate_to_merchant"": {""action_count"": 11, ""effective_sample_size"": 2.7055214, ""probability"": 0.41850108, ""supported"": false}, ""payment_link"": {""action_count"": 8, ""effective_sample_size"": 4.29589038, ""probability"": 0.59933972, ""supported"": false}, ""retry_payment"": {""action_count"": 49, ""effective_sample_size"": 7.2393814, ""probability"": 0.50505143, ""supported"": false}, ""whatsapp_reminder"": {""action_count"": 23, ""effective_sample_size"": 3.80324523, ""probability"": 0.57109421, ""supported"": false}}",0.50505143,49,7.23938140,False,0.59933972,8,4.29589038,False,0.57109421,23,3.80324523,False,0.41850108,11,2.70552140,False
TXN0000214915,C000026,2024-11-06 18:33:59,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,payment_link,retry_payment,0.57518762,0.00777155,True,insufficient_probability_margin,True,"{""escalate_to_merchant"": {""action_count"": 237, ""effective_sample_size"": 33.53941007, ""probability"": 0.46733847, ""supported"": true}, ""payment_link"": {""action_count"": 9, ""effective_sample_size"": 9.0, ""probability"": 0.58412886, ""supported"": false}, ""retry_payment"": {""action_count"": 126, ""effective_sample_size"": 18.74890631, ""probability"": 0.57518762, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 73, ""effective_sample_size"": 15.08078281, ""probability"": 0.56741607, ""supported"": true}}",0.57518762,126,18.74890631,True,0.58412886,9,9.00000000,False,0.56741607,73,15.08078281,True,0.46733847,237,33.53941007,True
TXN0000073672,C004585,2024-11-06 19:15:40,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,escalate_to_merchant,0.36429274,,True,no_supported_candidate_safety_fallback,False,"{""escalate_to_merchant"": {""action_count"": 0, ""effective_sample_size"": 0.0, ""probability"": 0.36429274, ""supported"": false}, ""payment_link"": {""action_count"": 1, ""effective_sample_size"": 1.0, ""probability"": 0.54136437, ""supported"": false}, ""retry_payment"": {""action_count"": 18, ""effective_sample_size"": 18.0, ""probability"": 0.49248376, ""supported"": false}, ""whatsapp_reminder"": {""action_count"": 7, ""effective_sample_size"": 3.29758098, ""probability"": 0.51341796, ""supported"": false}}",0.49248376,18,18.00000000,False,0.54136437,1,1.00000000,False,0.51341796,7,3.29758098,False,0.36429274,0,0.00000000,False
TXN0000052587,C005243,2024-11-06 19:37:48,whatsapp_reminder,0.90000000,1,whatsapp_reminder,0,payment_link,retry_payment,0.63425303,,True,single_supported_candidate,True,"{""escalate_to_merchant"": {""action_count"": 12, ""effective_sample_size"": 3.68852452, ""probability"": 0.526398, ""supported"": false}, ""payment_link"": {""action_count"": 2, ""effective_sample_size"": 2.0, ""probability"": 0.69654554, ""supported"": false}, ""retry_payment"": {""action_count"": 47, ""effective_sample_size"": 47.0, ""probability"": 0.63425303, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 21, ""effective_sample_size"": 3.60798899, ""probability"": 0.68177658, ""supported"": false}}",0.63425303,47,47.00000000,True,0.69654554,2,2.00000000,False,0.68177658,21,3.60798899,False,0.52639800,12,3.68852452,False
TXN0000201805,C006926,2024-11-06 20:19:08,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,payment_link,0.59407848,0.01957649,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 196, ""effective_sample_size"": 56.61961283, ""probability"": 0.34968075, ""supported"": true}, ""payment_link"": {""action_count"": 625, ""effective_sample_size"": 91.91881191, ""probability"": 0.59407848, ""supported"": true}, ""retry_payment"": {""action_count"": 387, ""effective_sample_size"": 66.60326136, ""probability"": 0.54587936, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 50, ""effective_sample_size"": 36.09870729, ""probability"": 0.57450199, ""supported"": true}}",0.54587936,387,66.60326136,True,0.59407848,625,91.91881191,True,0.57450199,50,36.09870729,True,0.34968075,196,56.61961283,True
TXN0000104374,C001586,2024-11-06 20:36:00,retry_payment,0.90000000,0,retry_payment,0,payment_link,payment_link,0.74984896,0.01712912,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 196, ""effective_sample_size"": 56.61961283, ""probability"": 0.49980903, ""supported"": true}, ""payment_link"": {""action_count"": 625, ""effective_sample_size"": 91.91881191, ""probability"": 0.74984896, ""supported"": true}, ""retry_payment"": {""action_count"": 387, ""effective_sample_size"": 66.60326136, ""probability"": 0.69121325, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 50, ""effective_sample_size"": 36.09870729, ""probability"": 0.73271984, ""supported"": true}}",0.69121325,387,66.60326136,True,0.74984896,625,91.91881191,True,0.73271984,50,36.09870729,True,0.49980903,196,56.61961283,True
TXN0000010302,C006888,2024-11-06 21:16:46,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,whatsapp_reminder,whatsapp_reminder,0.54333723,0.05016193,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 213, ""effective_sample_size"": 29.38877094, ""probability"": 0.38647136, ""supported"": true}, ""payment_link"": {""action_count"": 55, ""effective_sample_size"": 23.54174517, ""probability"": 0.4931753, ""supported"": true}, ""retry_payment"": {""action_count"": 134, ""effective_sample_size"": 25.67475706, ""probability"": 0.48179245, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 69, ""effective_sample_size"": 17.37637634, ""probability"": 0.54333723, ""supported"": true}}",0.48179245,134,25.67475706,True,0.49317530,55,23.54174517,True,0.54333723,69,17.37637634,True,0.38647136,213,29.38877094,True
TXN0000053376,C000528,2024-11-06 21:26:11,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,payment_link,payment_link,0.53565377,0.04215550,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 43, ""effective_sample_size"": 10.73819641, ""probability"": 0.35606, ""supported"": true}, ""payment_link"": {""action_count"": 90, ""effective_sample_size"": 12.53697431, ""probability"": 0.53565377, ""supported"": true}, ""retry_payment"": {""action_count"": 59, ""effective_sample_size"": 8.94277964, ""probability"": 0.49349827, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 19, ""effective_sample_size"": 4.27099396, ""probability"": 0.51732087, ""supported"": false}}",0.49349827,59,8.94277964,True,0.53565377,90,12.53697431,True,0.51732087,19,4.27099396,False,0.35606000,43,10.73819641,True
