payment_id,raw_failure_reason,taxonomy,feature_support_score,compatibility_allowed,v1_pre_gate_action,v2_pre_gate_action,v1_post_gate_action,v2_post_gate_action,post_gate_agreement,v1_probability_margin,v2_probability_margin,v2_expected_value_margin_inr,v2_margin_fallback_triggered,v1_probabilities,v2_probabilities,executed
pay_TTzwMbypycmexA,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.04939079,0.04053345,,False,"{""escalate_to_merchant"": 0.20288793742656708, ""payment_link"": 0.42925071716308594, ""retry_payment"": 0.37985992431640625, ""whatsapp_reminder"": 0.37747541069984436}","{""escalate_to_merchant"": 0.24325159192085266, ""payment_link"": 0.4609616994857788, ""retry_payment"": 0.4031921327114105, ""whatsapp_reminder"": 0.42042824625968933}",False
pay_TTzyW8wcy0qWse,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.00696458,0.00431371,,False,"{""escalate_to_merchant"": 0.11043836176395416, ""payment_link"": 0.2486543208360672, ""retry_payment"": 0.23614996671676636, ""whatsapp_reminder"": 0.2416897416114807}","{""escalate_to_merchant"": 0.12989914417266846, ""payment_link"": 0.27426379919052124, ""retry_payment"": 0.2653825283050537, ""whatsapp_reminder"": 0.2785775065422058}",False
pay_TTzyz1qnbsfavy,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01844385,0.02052212,,False,"{""escalate_to_merchant"": 0.1673966646194458, ""payment_link"": 0.3246435225009918, ""retry_payment"": 0.30619966983795166, ""whatsapp_reminder"": 0.304644376039505}","{""escalate_to_merchant"": 0.27703025937080383, ""payment_link"": 0.46206265687942505, ""retry_payment"": 0.41693899035453796, ""whatsapp_reminder"": 0.44154053926467896}",False
pay_TTzzSKykOjNfTd,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.00604662,0.00927746,,False,"{""escalate_to_merchant"": 0.21239928901195526, ""payment_link"": 0.34889158606529236, ""retry_payment"": 0.3500596284866333, ""whatsapp_reminder"": 0.3561062514781952}","{""escalate_to_merchant"": 0.22723625600337982, ""payment_link"": 0.397760272026062, ""retry_payment"": 0.3705504536628723, ""whatsapp_reminder"": 0.40703773498535156}",False
pay_TTzzmj9p64Q1VR,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.03747794,0.02738890,,False,"{""escalate_to_merchant"": 0.20948836207389832, ""payment_link"": 0.4338546693325043, ""retry_payment"": 0.3917960822582245, ""whatsapp_reminder"": 0.39637672901153564}","{""escalate_to_merchant"": 0.2619929015636444, ""payment_link"": 0.49699124693870544, ""retry_payment"": 0.4332326650619507, ""whatsapp_reminder"": 0.4696023464202881}",False
pay_TU00SeO9wICDuM,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.03478518,0.05009446,,False,"{""escalate_to_merchant"": 0.21833224594593048, ""payment_link"": 0.4386916756629944, ""retry_payment"": 0.4039064943790436, ""whatsapp_reminder"": 0.38057741522789}","{""escalate_to_merchant"": 0.3070647418498993, ""payment_link"": 0.5292928218841553, ""retry_payment"": 0.4648791253566742, ""whatsapp_reminder"": 0.4791983664035797}",False
pay_TU00uzIaSaRONQ,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01092231,0.01175871,,False,"{""escalate_to_merchant"": 0.2092915028333664, ""payment_link"": 0.3892762064933777, ""retry_payment"": 0.3685985803604126, ""whatsapp_reminder"": 0.37835389375686646}","{""escalate_to_merchant"": 0.23795227706432343, ""payment_link"": 0.47527384757995605, ""retry_payment"": 0.43116676807403564, ""whatsapp_reminder"": 0.46351513266563416}",False
pay_TU01Ieq86SY6JV,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.02150208,0.00225931,,False,"{""escalate_to_merchant"": 0.191133052110672, ""payment_link"": 0.3697432279586792, ""retry_payment"": 0.3428352177143097, ""whatsapp_reminder"": 0.3482411503791809}","{""escalate_to_merchant"": 0.286618709564209, ""payment_link"": 0.48985257744789124, ""retry_payment"": 0.4766034781932831, ""whatsapp_reminder"": 0.4921118915081024}",False
pay_TU021EuPKxaOmB,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.00558919,0.01494247,,False,"{""escalate_to_merchant"": 0.1740632951259613, ""payment_link"": 0.309331476688385, ""retry_payment"": 0.2981729805469513, ""whatsapp_reminder"": 0.30374228954315186}","{""escalate_to_merchant"": 0.24750582873821259, ""payment_link"": 0.4556207060813904, ""retry_payment"": 0.4121920168399811, ""whatsapp_reminder"": 0.4406782388687134}",False
pay_TU07FVObp3Yn4H,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.02847135,0.02245107,,False,"{""escalate_to_merchant"": 0.25370684266090393, ""payment_link"": 0.46729275584220886, ""retry_payment"": 0.42979297041893005, ""whatsapp_reminder"": 0.438821405172348}","{""escalate_to_merchant"": 0.3017798662185669, ""payment_link"": 0.5117242336273193, ""retry_payment"": 0.45926496386528015, ""whatsapp_reminder"": 0.48927316069602966}",False
